cname,year,Civil Justice is Free of Corruption,Criminal System is Free of Corruption,Corruption Commission Present in Constitution,Civil Rights,Anti Corruption Policy,The Bayesian Corruption Indicator
,,,,2.0,9.0,7.0,43.99
,,,,2.0,,,43.22
,,,,2.0,9.0,8.0,42.28
,,,,2.0,,,41.12
,,,,2.0,8.0,8.0,40.2
,,,,2.0,,,38.98
,,,,2.0,9.0,8.0,37.97
,,,,2.0,,,37.0
,,,,2.0,9.0,8.0,36.35
,,,,2.0,,,35.82
,,,,2.0,9.0,8.0,35.16
,,,,2.0,,,34.47
,,0.71,0.66,2.0,9.0,8.0,33.75
,,0.74,0.67,,,,
,,0.72,0.67,,,,
,,,,2.0,,,11.38
,,,,2.0,,,11.02
,,,,2.0,,,10.63
,,,,2.0,,,10.27
,,,,2.0,,,11.14
,,,,2.0,,,9.85
,,,,2.0,,,8.69
,,,,2.0,,,8.4
,,,,2.0,,,7.77
,,,,2.0,,,7.47
,,,,2.0,,,7.25
,,,,2.0,,,6.24
,,,,2.0,,,5.41
,,,,2.0,,,4.8
,,,,2.0,,,4.53
,,,,2.0,,,4.22
,,,,2.0,,,3.95
,,,,2.0,,,3.77
,,0.89,0.86,2.0,,,3.74
,,0.88,0.86,,,,
,,0.86,0.86,,,,
,,,,2.0,,,41.66
,,,,2.0,8.0,6.0,41.29
,,,,2.0,,,40.88
,,,,2.0,8.0,5.0,40.73
,,,,2.0,,,40.65
,,,,2.0,8.0,5.0,40.41
,,,,2.0,,,40.01
,,,,2.0,8.0,6.0,39.68
,,,,2.0,,,39.48
,,,,2.0,8.0,7.0,39.14
,,,,2.0,,,38.65
,,,,2.0,8.0,7.0,38.93
,,,,2.0,,,38.94
,,,,2.0,8.0,7.0,38.94
,,,,2.0,,,39.52
,,,,2.0,8.0,7.0,39.72
,,0.53,0.51,,,,
,,,,2.0,,,0.33
,,,,2.0,,,-0.32
,,,,2.0,,,-0.78
,,,,2.0,,,-0.37
,,,,2.0,,,0.76
,,,,2.0,,,1.1
,,,,2.0,,,0.97
,,,,2.0,,,1.74
,,,,2.0,,,1.88
,,0.93,0.93,2.0,,,1.85
,,,,2.0,,,1.98
,,0.88,0.93,2.0,,,1.82
,,0.93,0.92,2.0,,,1.73
,,0.93,0.92,2.0,,,1.64
,,0.96,0.95,2.0,,,1.78
,,,,2.0,,,1.9
,,0.96,0.96,2.0,,,2.02
,,0.96,0.94,2.0,,,1.97
,,0.96,0.95,2.0,,,1.96
,,0.96,0.96,,,,
,,0.96,0.95,,,,
,,,,2.0,,,47.15
,,,,2.0,,,46.84
,,,,2.0,10.0,6.0,46.39
,,,,2.0,,,45.45
,,,,2.0,9.0,7.0,44.13
,,,,2.0,,,41.35
,,,,2.0,9.0,7.0,38.57
,,,,2.0,,,37.21
,,,,2.0,10.0,7.0,36.46
,,0.77,0.78,2.0,,,35.76
,,,,2.0,10.0,8.0,35.12
,,0.79,0.72,2.0,,,34.88
,,0.79,0.75,2.0,9.0,8.0,34.72
,,0.77,0.76,2.0,,,34.46
,,0.76,0.75,2.0,9.0,8.0,34.16
,,,,2.0,,,34.08
,,0.77,0.8,2.0,8.0,7.0,34.05
,,0.78,0.8,2.0,,,33.74
,,0.78,0.8,2.0,8.0,7.0,33.51
,,0.78,0.8,,,,
,,0.78,0.8,,,,
,,,,2.0,,,36.8
,,,,2.0,,,36.65
,,,,2.0,,,35.95
,,,,2.0,,,35.44
,,,,2.0,,,35.3
,,,,2.0,,,35.0
,,,,2.0,,,34.91
,,,,2.0,,,34.95
,,,,2.0,,,34.91
,,0.73,0.72,2.0,,,35.04
,,,,2.0,,,35.42
,,0.71,0.72,2.0,,,34.76
,,0.77,0.79,2.0,,,34.12
,,0.77,0.8,2.0,,,33.66
,,0.77,0.81,2.0,,,33.57
,,,,2.0,,,33.49
,,0.79,0.79,2.0,,,33.38
,,0.79,0.78,2.0,,,33.03
,,0.77,0.78,2.0,,,32.73
,,0.77,0.77,,,,
,,0.77,0.77,,,,
,,,,2.0,,,50.19
,,,,2.0,,,49.68
,,,,2.0,8.0,6.0,48.86
,,,,2.0,,,48.7
,,,,2.0,9.0,6.0,48.72
,,,,2.0,,,48.58
,,,,2.0,9.0,6.0,48.66
,,,,2.0,,,48.6
,,,,2.0,9.0,7.0,48.13
,,0.57,0.55,2.0,,,47.46
,,,,2.0,8.0,6.0,46.37
,,0.62,0.57,2.0,,,46.44
,,0.63,0.6,2.0,8.0,7.0,46.33
,,0.66,0.64,2.0,,,46.19
,,0.67,0.67,2.0,8.0,8.0,46.09
,,,,2.0,,,45.9
,,0.63,0.66,2.0,8.0,5.0,45.61
,,0.62,0.64,2.0,,,45.07
,,0.63,0.61,2.0,8.0,6.0,44.67
,,0.64,0.61,,,,
,,0.63,0.62,,,,
,,,,2.0,,,51.87
,,,,2.0,7.0,6.0,51.6
,,,,2.0,,,51.43
,,,,2.0,7.0,6.0,51.39
,,,,2.0,,,52.06
,,,,2.0,8.0,6.0,52.14
,,0.39,0.47,2.0,,,52.25
,,,,2.0,8.0,6.0,52.32
,,0.4,0.41,2.0,,,51.88
,,0.41,0.4,2.0,8.0,7.0,51.48
,,0.43,0.38,2.0,,,51.24
,,0.47,0.38,2.0,8.0,6.0,51.04
,,,,2.0,,,50.9
,,0.47,0.42,2.0,8.0,6.0,50.82
,,0.46,0.43,2.0,,,50.84
,,0.46,0.43,2.0,7.0,5.0,50.88
,,0.46,0.43,,,,
,,0.44,0.42,,,,
,,,,2.0,,,44.32
,,,,2.0,,,43.82
,,,,2.0,9.0,7.0,43.21
,,,,2.0,,,42.96
,,,,2.0,10.0,7.0,42.7
,,,,2.0,,,42.53
,,,,2.0,10.0,6.0,42.68
,,,,2.0,,,42.88
,,,,2.0,9.0,7.0,43.08
,,,,2.0,,,43.14
,,,,2.0,9.0,7.0,43.12
,,,,2.0,,,42.02
,,,,2.0,9.0,7.0,42.01
,,,,2.0,,,41.87
,,,,2.0,9.0,7.0,41.72
,,,,2.0,,,41.4
,,,,2.0,9.0,6.0,41.07
,,,,2.0,,,40.97
,,0.6,0.43,2.0,9.0,7.0,40.63
,,0.55,0.48,,,,
,,0.59,0.5,,,,
,,,,2.0,,,31.89
,,,,2.0,,,31.38
,,,,2.0,9.0,9.0,30.75
,,,,2.0,,,30.34
,,,,2.0,10.0,8.0,30.03
,,,,2.0,,,29.74
,,,,2.0,10.0,8.0,29.91
,,,,2.0,,,30.27
,,,,2.0,10.0,8.0,30.24
,,0.64,0.62,2.0,,,30.16
,,,,2.0,9.0,7.0,30.27
,,0.64,0.58,2.0,,,29.91
,,0.7,0.6,2.0,9.0,7.0,29.49
,,0.68,0.62,2.0,,,29.04
,,0.61,0.68,2.0,9.0,8.0,28.89
,,,,2.0,,,28.96
,,0.65,0.67,2.0,9.0,8.0,28.88
,,0.66,0.68,2.0,,,28.67
,,0.67,0.67,2.0,8.0,7.0,28.31
,,0.68,0.65,,,,
,,0.7,0.66,,,,
,,,,2.0,,,26.2
,,,,2.0,,,25.8
,,,,2.0,,,25.43
,,,,2.0,,,25.1
,,,,2.0,,,25.07
,,,,2.0,,,25.53
,,,,2.0,,,26.19
,,,,2.0,,,26.84
,,,,2.0,,,27.5
,,0.77,0.82,2.0,,,28.16
,,,,2.0,,,28.77
,,0.71,0.72,2.0,,,29.84
,,0.71,0.73,2.0,,,30.59
,,0.72,0.73,2.0,,,31.0
,,0.72,0.73,2.0,,,31.31
,,,,2.0,,,31.27
,,0.71,0.75,2.0,,,31.11
,,0.72,0.76,2.0,,,30.96
,,0.72,0.77,2.0,,,30.75
,,0.72,0.77,,,,
,,0.72,0.77,,,,
,,,,2.0,,,2.32
,,,,2.0,,,1.76
,,,,2.0,,,1.23
,,,,2.0,,,0.72
,,,,2.0,,,0.69
,,,,2.0,,,0.78
,,,,2.0,,,0.78
,,,,2.0,,,1.01
,,,,2.0,,,1.13
,,0.92,0.93,2.0,,,1.44
,,,,2.0,,,1.67
,,0.92,0.91,2.0,,,1.93
,,0.93,0.9,2.0,,,2.21
,,0.91,0.9,2.0,,,2.59
,,0.91,0.9,2.0,,,2.68
,,,,2.0,,,2.71
,,0.91,0.92,2.0,,,2.72
,,0.91,0.92,2.0,,,2.71
,,0.91,0.92,2.0,,,2.8
,,0.91,0.92,,,,
,,0.91,0.92,,,,
,,,,2.0,,,4.86
,,,,2.0,,,4.46
,,,,2.0,,,3.71
,,,,2.0,,,2.95
,,,,2.0,,,2.67
,,,,2.0,,,1.95
,,,,2.0,,,1.18
,,,,2.0,,,0.85
,,,,2.0,,,1.49
,,,,2.0,,,2.01
,,,,2.0,,,2.55
,,,,2.0,,,2.59
,,,,2.0,,,2.8
,,,,2.0,,,3.17
,,,,2.0,,,2.91
,,,,2.0,,,2.76
,,,,2.0,,,2.72
,,,,2.0,,,2.72
,,,,2.0,,,2.78
,,,,2.0,,,52.89
,,,,2.0,,,52.54
,,,,2.0,6.0,5.0,52.04
,,,,2.0,,,52.02
,,,,2.0,6.0,5.0,49.84
,,,,2.0,,,46.55
,,,,2.0,7.0,5.0,44.61
,,,,2.0,,,43.56
,,,,2.0,7.0,6.0,42.07
,,0.6,0.51,2.0,,,40.54
,,,,2.0,7.0,6.0,38.9
,,0.6,0.6,2.0,,,39.63
,,0.55,0.53,2.0,6.0,5.0,40.47
,,0.5,0.53,2.0,,,41.11
,,0.44,0.53,2.0,4.0,5.0,41.82
,,,,2.0,,,42.46
,,0.51,0.59,2.0,3.0,4.0,42.63
,,0.51,0.59,2.0,,,42.72
,,0.51,0.57,2.0,3.0,4.0,42.87
,,0.5,0.56,,,,
,,0.49,0.55,,,,
,,,,2.0,,,64.72
,,,,2.0,,,64.47
,,,,2.0,8.0,4.0,64.22
,,,,2.0,,,64.31
,,,,2.0,8.0,4.0,64.57
,,,,2.0,,,64.08
,,,,2.0,8.0,4.0,64.01
,,,,2.0,,,65.04
,,,,2.0,6.0,3.0,64.87
,,0.35,0.26,2.0,,,64.54
,,,,2.0,6.0,3.0,64.1
,,0.4,0.26,2.0,,,63.56
,,0.35,0.28,2.0,7.0,4.0,63.08
,,0.34,0.3,2.0,,,62.39
,,0.36,0.31,2.0,7.0,5.0,62.44
,,,,2.0,,,62.4
,,0.38,0.31,2.0,7.0,5.0,62.26
,,0.41,0.31,2.0,,,62.29
,,0.41,0.32,2.0,7.0,5.0,62.35
,,0.42,0.32,,,,
,,0.42,0.32,,,,
,,,,2.0,,,56.04
,,,,2.0,,,55.73
,,,,2.0,8.0,5.0,55.4
,,,,2.0,,,55.24
,,,,2.0,7.0,6.0,53.99
,,,,2.0,,,50.81
,,,,2.0,8.0,6.0,49.08
,,,,2.0,,,47.57
,,,,2.0,8.0,6.0,45.57
,,0.36,0.58,2.0,,,43.39
,,,,2.0,8.0,6.0,42.44
,,0.44,0.54,2.0,,,42.88
,,0.4,0.51,2.0,8.0,5.0,43.41
,,0.37,0.55,2.0,,,43.84
,,0.42,0.52,2.0,8.0,5.0,44.3
,,,,2.0,,,44.49
,,0.38,0.53,2.0,8.0,5.0,44.51
,,0.36,0.51,2.0,,,44.72
,,0.38,0.51,2.0,8.0,5.0,44.78
,,0.37,0.5,,,,
,,0.36,0.46,,,,
