,year,life_ladder,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,positive_affect,negative_affect,iso3_code
58,2019,6.7721381187438965,0.8842304944992065,70.5999984741211,0.7762036323547363,-0.17797590792179108,0.6990424990653992,0.24363084137439728,BEL
59,2020,6.838760852813721,0.9035586714744568,70.75,0.7669178247451782,-0.1718907505273819,0.619125485420227,0.2601887881755829,BEL
60,2021,6.88175630569458,0.9148567914962769,70.9000015258789,0.8225030899047852,0.07735525071620941,0.6865835189819336,0.26003092527389526,BEL
61,2022,6.856874465942383,0.9227327108383179,71.05000305175781,0.8898890018463135,0.09505116939544678,0.7184796929359436,0.23477324843406677,BEL
62,2023,6.943598747253418,0.8959550261497498,71.19999694824219,0.8702002167701721,0.06494025141000748,0.7252440452575684,0.24549579620361328,BEL
67,2012,4.773144721984863,0.7788598537445068,67.0,0.41978931427001953,-0.01588583178818226,0.4686013460159302,0.33824068307876587,BIH
68,2013,5.123664379119873,0.7668277621269226,67.0,0.390341579914093,0.038655977696180344,0.48930057883262634,0.3145160377025604,BIH
69,2014,5.2489542961120605,0.7876517176628113,67.0,0.4119373857975006,0.2289367914199829,0.49083468317985535,0.26217520236968994,BIH
70,2015,5.117177963256836,0.6557236313819885,67.0,0.630698025226593,-0.058186616748571396,0.485843688249588,0.28623414039611816,BIH
71,2016,5.180865287780762,0.8077051043510437,67.05000305175781,0.6334537267684937,0.13019025325775146,0.5659803748130798,0.3040802776813507,BIH
72,2017,5.089902400970459,0.7752952575683594,67.0999984741211,0.5637986660003662,0.08720297366380692,0.5266396403312683,0.27074551582336426,BIH
73,2018,5.887401103973389,0.8358895778656006,67.1500015258789,0.6588464379310608,0.11834884434938431,0.5676940679550171,0.2773650586605072,BIH
74,2019,6.015522480010986,0.8731419444084167,67.19999694824219,0.7215632200241089,0.07388520985841751,0.5446664094924927,0.23806855082511902,BIH
75,2020,5.5158162117004395,0.8985186815261841,67.25,0.740250825881958,0.1319495290517807,0.6018709540367126,0.3254123032093048,BIH
76,2021,5.748823165893555,0.8599535822868347,67.30000305175781,0.7589792013168335,0.2737639248371124,0.6040925979614258,0.3053521513938904,BIH
77,2022,5.8720550537109375,0.8559615015983582,67.3499984741211,0.7426527738571167,0.19059525430202484,0.5425434708595276,0.2853967845439911,BIH
78,2023,6.008581161499023,0.8787869215011597,67.4000015258789,0.8472372889518738,0.2408037930727005,0.5785500407218933,0.24872227013111115,BIH
82,2012,4.222297191619873,0.8379666209220886,65.4800033569336,0.6412564516067505,-0.1807703971862793,0.5095552802085876,0.2366328239440918,BGR
83,2013,3.993020534515381,0.8291323184967041,65.62000274658203,0.603213369846344,-0.19914494454860687,0.5367209315299988,0.278313010931015,BGR
84,2014,4.438439846038818,0.8859491944313049,65.76000213623047,0.5755959153175354,-0.06236521154642105,0.5422828793525696,0.23559372127056122,BGR
85,2015,4.865401268005371,0.9075170159339905,65.9000015258789,0.6368178129196167,-0.2070072442293167,0.5559516549110413,0.21422383189201355,BGR
86,2016,4.837560653686523,0.9260360598564148,66.0,0.7002655267715454,-0.1768510788679123,0.5445662140846252,0.17169985175132751,BGR
87,2017,5.096901893615723,0.9417545795440674,66.0999984741211,0.6890470385551453,-0.16029389202594757,0.5419514775276184,0.18863734602928162,BGR
