,Country Name,Country Code,Year,GDP_per_capita
317,Bosnia and Herzegovina,BIH,2020,6130.31133245161
318,Bulgaria,BGR,2020,10198.5388313404
319,Croatia,HRV,2020,14808.4620188819
320,Cyprus,CYP,2020,28649.015625
321,Czechia,CZE,2020,23472.8915454417
322,Denmark,DNK,2020,60985.4885601514
323,Estonia,EST,2020,23933.9939421065
324,Finland,FIN,2020,48828.6846862799
325,France,FRA,2020,39169.8606000707
326,Georgia,GEO,2020,4300.85701291207
327,Germany,DEU,2020,47379.765194548
328,Greece,GRC,2020,17886.733165236
329,Hungary,HUN,2020,16131.9540355923
330,Iceland,ISL,2020,59023.5663465778
331,Ireland,IRL,2020,87567.1148972037
332,Italy,ITA,2020,32091.4866621366
333,Kosovo,XKX,2020,4310.88824737367
334,Latvia,LVA,2020,17564.2321549354
335,Liechtenstein,LIE,2020,164671.093553454
336,Lithuania,LTU,2020,20541.824988603
337,Luxembourg,LUX,2020,116905.370396853
338,Malta,MLT,2020,31796.8213417258
339,Moldova,MDA,2020,4375.7788930524
340,Monaco,MCO,2020,176891.886538492
341,Montenegro,MNE,2020,7677.37132106817
342,Netherlands,NLD,2020,53467.9277413737
343,North Macedonia,MKD,2020,6659.59651070776
344,Norway,NOR,2020,68340.0181033702
345,Poland,POL,2020,15987.5753654045
346,Portugal,PRT,2020,22299.4044062173
347,Romania,ROU,2020,13082.3006559554
348,Russian Federation,RUS,2020,10108.3271484375
349,San Marino,SMR,2020,44426.6463400658
350,Serbia,SRB,2020,8098.70955668849
351,Albania,ALB,2021,6413.28328605026
352,Andorra,AND,2021,42425.6996756291
353,Austria,AUT,2021,53648.7190742245
354,Belarus,BLR,2021,7489.71894713888
355,Belgium,BEL,2021,51655.7883303715
356,Bosnia and Herzegovina,BIH,2021,7295.3438240957
357,Bulgaria,BGR,2021,12274.0775950496
358,Croatia,HRV,2021,17789.9304736722
359,Cyprus,CYP,2021,33734.29296875
360,Czechia,CZE,2021,27696.4619527544
361,Denmark,DNK,2021,69727.9873677012
362,Estonia,EST,2021,27953.7670230126
363,Finland,FIN,2021,53099.1351400148
364,France,FRA,2021,43725.0999521245
365,Georgia,GEO,2021,5083.60695484577
366,Germany,DEU,2021,52265.6541620571
367,Greece,GRC,2021,20654.7001960815
368,Hungary,HUN,2021,18755.1023464312
369,Iceland,ISL,2021,69325.9078287926
370,Ireland,IRL,2021,105561.137468992
371,Italy,ITA,2021,36852.5425414951
372,Kosovo,XKX,2021,5270.42670206205
373,Latvia,LVA,2021,20262.8433862451
374,Liechtenstein,LIE,2021,196783.729414593
375,Lithuania,LTU,2021,23934.728489916
376,Luxembourg,LUX,2021,133711.794435985
377,Malta,MLT,2021,38027.3801730893
378,Moldova,MDA,2021,5274.60582195352
379,Monaco,MCO,2021,223823.363960226
380,Montenegro,MNE,2021,9465.96153027794
381,Netherlands,NLD,2021,60141.9880911492
382,North Macedonia,MKD,2021,7620.80296977508
383,Norway,NOR,2021,93072.8925119571
384,Poland,POL,2021,18635.5104895754
385,Portugal,PRT,2021,24711.4510062111
386,Romania,ROU,2021,14986.7854904274
387,Russian Federation,RUS,2021,12521.5224609375
388,San Marino,SMR,2021,54168.9828262684
389,Serbia,SRB,2021,9680.52798074468
390,Albania,ALB,2022,6846.42614266044
391,Andorra,AND,2022,42414.0590092117
392,Austria,AUT,2022,52176.6649141178
393,Belarus,BLR,2022,7994.64806074889
394,Belgium,BEL,2022,50807.2047084918
395,Bosnia and Herzegovina,BIH,2022,7655.59421024383
396,Bulgaria,BGR,2022,13644.201582807
397,Croatia,HRV,2022,18466.0955472648
398,Cyprus,CYP,2022,33938.9453125
399,Czechia,CZE,2022,28282.2236715857
400,Denmark,DNK,2022,68091.3191138669
401,Estonia,EST,2022,28451.1477825175
402,Finland,FIN,2022,50438.4753952355
403,France,FRA,2022,41082.8119320747
404,Georgia,GEO,2022,6729.84659930283
405,Germany,DEU,2022,49686.1154582583
406,Greece,GRC,2022,20971.8349258283
407,Hungary,HUN,2022,18353.298364905
408,Iceland,ISL,2022,75314.085560994
409,Ireland,IRL,2022,106194.755859223
410,Italy,ITA,2022,35635.7442204098
411,Kosovo,XKX,2022,5290.94747224687
412,Latvia,LVA,2022,20229.4613617326
413,Liechtenstein,LIE,2022,186400.23376784
414,Lithuania,LTU,2022,25085.784063499
415,Luxembourg,LUX,2022,125006.021815486
416,Malta,MLT,2022,36142.2058531852
417,Moldova,MDA,2022,5738.42473515618
418,Monaco,MCO,2022,226052.001905201
419,Montenegro,MNE,2022,10093.4387007266
420,Netherlands,NLD,2022,59123.318556487
421,North Macedonia,MKD,2022,7606.2375253797
422,Norway,NOR,2022,108798.451165901
423,Poland,POL,2022,18891.2121169279
424,Portugal,PRT,2022,24620.519556875
425,Romania,ROU,2022,15557.8826247584
426,Russian Federation,RUS,2022,15445.2421875
427,San Marino,SMR,2022,54264.570495898
428,Serbia,SRB,2022,10022.9688543402
429,Albania,ALB,2023,8575.17113446213
430,Andorra,AND,2023,46812.4484486309
431,Austria,AUT,2023,56033.573792065
432,Belarus,BLR,2023,7829.05313660622
433,Belgium,BEL,2023,54700.9093236712
434,Bosnia and Herzegovina,BIH,2023,8638.66620201187
435,Bulgaria,BGR,2023,15885.5391311331
436,Croatia,HRV,2023,21865.4562838641
437,Cyprus,CYP,2023,36551.41796875
438,Czechia,CZE,2023,31591.1770732969
439,Denmark,DNK,2023,68453.8769281145
440,Estonia,EST,2023,30133.304450454
441,Finland,FIN,2023,52925.6897638424
442,France,FRA,2023,44690.9345395117
443,Georgia,GEO,2023,8283.66960242964
444,Germany,DEU,2023,54343.2265084958
445,Greece,GRC,2023,23400.7278817691
446,Hungary,HUN,2023,22141.8669799276
447,Iceland,ISL,2023,79636.9548578508
448,Ireland,IRL,2023,103887.800388081
449,Italy,ITA,2023,39003.3160954123
450,Kosovo,XKX,2023,5960.15820477447
451,Latvia,LVA,2023,22502.8429938094
452,Liechtenstein,LIE,2023,
453,Lithuania,LTU,2023,27786.0057829276
454,Luxembourg,LUX,2023,128678.189942826
455,Malta,MLT,2023,40395.7692064458
456,Moldova,MDA,2023,6729.41286813969
457,Monaco,MCO,2023,256580.515122745
458,Montenegro,MNE,2023,12221.4775546967
459,Netherlands,NLD,2023,64572.0059558854
460,North Macedonia,MKD,2023,8624.29360948531
461,Norway,NOR,2023,87925.0944188399
462,Poland,POL,2023,22056.6661704127
463,Portugal,PRT,2023,27331.2094945255
464,Romania,ROU,2023,18404.2730871704
465,Russian Federation,RUS,2023,13817.0458984375
466,San Marino,SMR,2023,
467,Serbia,SRB,2023,12281.5058488303
