country,year,Corruption Commission Present in Constitution,The Bayesian Corruption Indicator,Corruption Perceptions Index Rank,Corruption Perceptions Index Score,Corruption Perceptions Index Sources,Corruption Perceptions Index Standard Error,gdp,Regional Indicator,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Confidence In National Government,trade_in_services%,control_of_corruption_estimate,access_to_electricity%,renewvable_energy_consumption%,CO2_emisions,population_density,inflation_annual%,research_and_development_expenditure%,expense%,goverment_effectiveness_estimate,individuals_using_internet%,military_expenditure%,political_stability_estimate,rule_of_law_estimate,regulatory_quality_estimate,government_expenditure_on_education%,government_health_expenditure%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,intentional_homicides
Belarus,2012,,,123.0,31.0,5.0,3.6,11110.1,Commonwealth of Independent States,5.749043465,9.831532478,0.901961505,63.41999817,0.64524883,-0.220894024,0.657430232,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,2013,,,123.0,29.0,5.0,4.0,12229.4,Commonwealth of Independent States,5.876466274,9.841900826,0.922505975,63.97999954,0.723431289,-0.181126356,0.653039157,0.507824779,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,2014,,,119.0,31.0,5.0,4.04,12606.4,Commonwealth of Independent States,5.812400818,9.858455658,0.880258858,64.54000092,0.647184551,-0.051936623,0.68150872,0.507746696,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,2015,,,107.0,32.0,6.0,4.37,12262.4,Commonwealth of Independent States,5.718907833,9.818078995,0.924072623,65.09999847,0.622753441,-0.095032595,0.668678164,0.520024061,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,2016,,,79.0,40.0,7.0,3.93,12497.7,Commonwealth of Independent States,5.177899361,9.791612625,0.926551104,65.32499695,0.658228815,-0.129186898,0.664055169,0.452669024,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,2017,,,68.0,44.0,7.0,4.12,12896.9,Commonwealth of Independent States,5.552915096,9.817717552,0.900255799,65.55000305,0.620979249,-0.125324965,0.654113412,0.447916299,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,2018,,,70.0,44.0,7.0,3.92,13857.0,Commonwealth of Independent States,5.233769894,9.850861549,0.904569268,65.77500153,0.643602371,-0.178330481,0.718455493,0.421278685,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,2019,,,66.0,45.0,7.0,4.2,15767.4,Commonwealth of Independent States,5.821453094,9.866782188,0.916740477,66.0,0.656933606,-0.189935863,0.545904756,0.460812598,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,2020,,,63.0,47.0,7.0,3.38,17146.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,2021,,,82.0,41.0,8.0,2.35,18501.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,2022,,,91.0,39.0,7.0,3.14,19750.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2012,"2,00","17,54",16.0,75.0,7.0,2.4,32583.7,Western Europe,6.935122013,10.78334141,0.92711705,69.51999664,0.855266631,-0.054311134,0.757572532,0.44011718,41.4596992296968,1.55911040306091,100.0,7.69,95275.6,366.807529722589,2.83966343445899,2.28114008903503,45.9131579567486,1.67117416858673,80.71999055,1.0417564900031,0.923599720001221,1.44880962371826,1.22217035293579,6.25576496124268,8.02982998,27.5,11.5,9.8,80.3853658536585,11106932.0,250572.0,1.34942185878754,
Belgium,2013,"2,00","17,23",15.0,75.0,7.0,2.3,33793.8,Western Europe,7.10366106,10.7832098,0.909186184,69.68000031,0.890711069,0.012450119,0.573664308,0.554124534,41.9773466041698,1.60430264472961,100.0,8.26,96550.6,368.540521796565,1.1130959402754,2.33072996139526,45.5420739156994,1.70255434513092,82.1702,1.00895947872124,0.940082728862762,1.45678973197937,1.28374707698822,6.63052988052368,8.03675461,27.7,11.3,9.8,80.5878048780488,11159407.0,246734.0,1.3730456829071,
