,ISO3 Code,Year,Rule_of_law,Gov_effectiveness,Control_of_corruption,Fdi,Gdp_per_capita,Gini,Unemployement,Political_stability
56,BIH,2020,-0.316137343645096,-1.07570326328278,-0.643099904060364,2.38939048355651,6130.31133245161,31.6,15.868,-0.447477132081985
57,BIH,2021,-0.303256839513779,-1.07316851615906,-0.666075170040131,3.24230816818479,7295.3438240957,31.6,14.897,-0.421740084886551
58,BIH,2022,-0.306983083486557,-1.06496071815491,-0.684315621852875,3.47041348895988,7655.59421024383,31.6,12.657,-0.483193695545197
59,BIH,2023,-0.351819545030594,-0.967812538146973,-0.581560015678406,3.7622620799658,8638.66620201187,31.6,10.668,-0.353373318910599
60,BLR,2012,-0.92303854227066,-0.972218334674835,-0.458519369363785,2.22818019245943,6953.21591683101,26.5,0.5,0.0686152204871178
61,BLR,2013,-0.88221949338913,-0.962117969989777,-0.405309915542603,2.97388136295762,7998.0802045456,26.6,0.5,0.00595916621387
62,BLR,2014,-0.815213024616241,-0.490350842475891,-0.234991431236267,2.36256024522518,8341.29014337961,27.2,0.5,0.179782152175903
63,BLR,2015,-0.879217445850372,-0.489229083061218,-0.315615206956863,2.92676157012568,5967.06856034227,25.6,1.0,0.110905699431896
64,BLR,2016,-0.767325043678284,-0.513944447040558,-0.223861917853355,2.61275643208459,5039.77560949445,25.3,5.844,0.135706260800362
65,BLR,2017,-0.881673812866211,-0.357744187116623,-0.241236239671707,2.33219360612021,5785.53397723676,25.4,5.648,-0.0572087056934834
66,BLR,2018,-0.893020570278168,-0.297942787408829,-0.155491337180138,2.3762653793329,6360.05310087258,25.2,4.763,0.353592693805695
67,BLR,2019,-0.859413027763367,-0.174483388662338,0.0068965516984462,1.97686317571178,6837.76832136779,25.3,4.165,0.344978094100952
68,BLR,2020,-1.08517408370972,-0.829658210277557,-0.134194105863571,2.27009964534033,6542.8645398436,24.4,4.049,-0.887615978717804
69,BLR,2021,-1.1214325428009,-0.804153621196747,-0.25852045416832,1.76640687852003,7489.71894713888,25.4,3.9,-0.754245579242706
