,iso3_code,country,year,corruption_perceptions_index_score,rule_of_law,gov_effectiveness,control_of_corruption,fdi,gdp_per_capita,gini,unemployement,political_stability,life_ladder,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,positive_affect,negative_affect,burglary,fraud,money_laundering,smuggling_of_migrants,theft,theft_of_a_motorized_vehicle
190,GBR,United Kingdom,2022,73.0,1.41379821300507,1.23809003829956,1.62012147903442,1.44178892281254,45935.9276473925,,3.768,0.533176064491272,6.721779823303223,0.8634395003318787,70.4000015258789,0.857062578201294,0.3075888752937317,0.7227641940116882,0.2701621353626251,,,,,,
191,GBR,United Kingdom,2023,71.0,1.39836597442627,1.16114270687103,1.48091387748718,-2.64545968554728,49463.8554617343,,4.025,0.514935672283173,6.658042907714844,0.8858657479286194,70.5,0.8744441270828247,0.26972007751464844,0.7190335988998413,0.2723240852355957,,,,,,
192,GEO,Georgia,2012,52.0,-0.0062173483893275,0.63056617975235,0.39742112159729,5.73087327277528,4530.69533409431,39.0,19.653,-0.680453956127167,4.254445552825928,0.5325864553451538,63.900001525878906,0.6587240099906921,-0.2745648920536041,0.4434860646724701,0.2500878572463989,,,,,,
193,GEO,Georgia,2013,49.0,0.0049099563620984,0.606947124004364,0.463619619607925,5.97432640298838,4712.00229382665,38.6,19.416,-0.441366165876389,4.348920822143555,0.5591657757759094,64.0,0.7221276164054871,-0.2596762478351593,0.4670817255973816,0.1999070793390274,,,,,,
194,GEO,Georgia,2014,52.0,0.224748969078064,0.424183517694473,0.828279137611389,10.2241873429056,4830.33486170249,37.6,17.439,-0.321507543325424,4.287508010864258,0.5584200024604797,64.0999984741211,0.7197811603546143,-0.23858177661895752,0.4581109583377838,0.2043275088071823,42.5251739756533,,,,253.243372498003,
195,GEO,Georgia,2015,52.0,0.22280541062355,0.263111501932144,0.700735151767731,11.3986492046024,4086.6223465965,36.5,16.506,-0.472153753042221,4.121940612792969,0.5173715949058533,64.19999694824219,0.6399449706077576,-0.2104281187057495,0.4477141499519348,0.2331920862197876,,,,,,
196,GEO,Georgia,2016,57.0,0.335771918296814,0.420896291732788,0.713530719280243,10.746989399988,4143.40125686315,36.6,16.604,-0.320115089416504,4.448386192321777,0.5334122776985168,64.32499694824219,0.6064683794975281,-0.25481438636779785,0.4748525619506836,0.223224475979805,,,,,,
197,GEO,Georgia,2017,56.0,0.262742727994919,0.481504321098328,0.759495615959167,11.7183676491747,4418.75206546679,37.9,13.939,-0.375214755535126,4.450774669647217,0.5904951691627502,64.44999694824219,0.820908784866333,-0.2495434433221817,0.49581947922706604,0.20963960886001587,,,,,,
198,GEO,Georgia,2018,58.0,0.270510762929916,0.518133521080017,0.724816799163818,7.28401976586955,4804.0546040444,36.4,12.667,-0.447562873363495,4.659097194671631,0.617218554019928,64.57499694824219,0.775144100189209,-0.23838350176811218,0.479062020778656,0.24377891421318054,,,,,,
199,GEO,Georgia,2019,56.0,0.248691543936729,0.766199469566345,0.716545462608337,7.92523222582948,4741.2832715876,35.9,11.565,-0.498171955347061,4.891835689544678,0.6749760508537292,64.69999694824219,0.8105341196060181,-0.265289843082428,0.5028348565101624,0.24371002614498138,,,,,,
200,GEO,Georgia,2020,56.0,0.222878128290176,0.716738402843475,0.601492643356323,3.39837673139654,4300.85701291207,34.5,11.734,-0.429610639810562,5.123143196105957,0.7183459401130676,64.82499694824219,0.7643523812294006,-0.22501297295093536,0.5725843906402588,0.2945120632648468,,,,,,
201,GEO,Georgia,2021,55.0,0.14443676173687,0.616529405117035,0.661079525947571,6.74295146360052,5083.60695484577,34.2,,-0.429620236158371,4.91127347946167,0.6706894636154175,64.94999694824219,0.7770613431930542,-0.2897113561630249,0.5096328258514404,0.240043506026268,,,,,,
202,GEO,Georgia,2022,56.0,0.16946941614151,0.650143086910248,0.620420038700104,9.15328575552963,6729.84659930283,33.5,,-0.43653005361557,5.292755126953125,0.7544909715652466,65.07499694824219,0.8209031820297241,-0.25490885972976685,0.5033212304115295,0.23332443833351135,,,,,,
203,GEO,Georgia,2023,53.0,0.177279338240623,0.791285872459412,0.617694795131683,6.7766561454358,8283.66960242964,,,-0.335554122924805,5.350635051727295,0.7790393829345703,65.19999694824219,0.876941442489624,-0.2682105004787445,0.5417845249176025,0.2310466766357422,,,,,,
204,GRC,Greece,2012,36.0,0.388231575489044,0.276448935270309,-0.19037801027298,0.695897838082299,21624.346052551,36.3,24.731,-0.217248693108559,5.096354007720947,0.8121411204338074,70.16000366210938,0.3726104199886322,-0.30957627296447754,0.5444107055664062,0.3515062928199768,,,,,,
205,GRC,Greece,2013,40.0,0.467316538095474,0.357173413038254,-0.0754430443048477,1.24506178790059,21573.3449762805,36.1,27.686,-0.171341717243195,4.720251083374023,0.6866500377655029,70.23999786376953,0.4259665310382843,-0.27723783254623413,0.5708364248275757,0.48218315839767456,621.419866870957,26.2036596067655,,,949.873498626507,264.579992397818
206,GRC,Greece,2014,43.0,0.373986780643463,0.298027336597443,-0.136098176240921,1.15314480305525,21474.7257123892,35.8,26.708,-0.140445962548256,4.756237030029297,0.8323332071304321,70.31999969482422,0.3691563308238983,-0.29294174909591675,0.5970151424407959,0.3854333162307739,567.352329793699,26.4844721548961,,13.7899684699459,866.079982369461,231.005203406208
207,GRC,Greece,2015,46.0,0.252492129802704,0.145935848355293,-0.119139403104782,0.652184629866422,17980.7298238137,36.0,24.981,-0.235559731721878,5.622519016265869,0.8348246812820435,70.4000015258789,0.5317363142967224,-0.27716487646102905,0.6365904211997986,0.2774125337600708,423.767200187366,29.3153071338263,0.120296399223403,15.7680818674369,510.343593351533,245.441668692427
