,Alpha3Code,CountryName,year,gdp
377,GRC,Greece,2021,30020.5
378,GRC,Greece,2022,34599.2
379,GRC,Greece,2023,36396.9
380,HUN,Hungary,2005,13125.7
381,HUN,Hungary,2006,13825.3
382,HUN,Hungary,2007,14328.8
383,HUN,Hungary,2008,15511.5
384,HUN,Hungary,2009,15635.3
385,HUN,Hungary,2010,16084.1
386,HUN,Hungary,2011,16861.2
387,HUN,Hungary,2012,17117.2
388,HUN,Hungary,2013,17655.3
389,HUN,Hungary,2014,18022.1
390,HUN,Hungary,2015,18469.6
391,HUN,Hungary,2016,19645.5
392,HUN,Hungary,2017,20889.1
393,HUN,Hungary,2018,22198.9
394,HUN,Hungary,2019,24616.9
395,HUN,Hungary,2020,25075.5
396,HUN,Hungary,2021,27033.5
397,HUN,Hungary,2022,30820.7
398,HUN,Hungary,2023,32203.3
399,ISL,Iceland,2005,30930.3
400,ISL,Iceland,2006,32017.3
401,ISL,Iceland,2007,32932.4
402,ISL,Iceland,2008,33263.6
403,ISL,Iceland,2009,32080.3
404,ISL,Iceland,2010,30643.3
405,ISL,Iceland,2011,32067.5
406,ISL,Iceland,2012,33504.2
407,ISL,Iceland,2013,34757.7
408,ISL,Iceland,2014,35797.9
409,ISL,Iceland,2015,36671.5
410,ISL,Iceland,2016,39376.9
411,ISL,Iceland,2017,41788.5
412,ISL,Iceland,2018,43426.7
413,ISL,Iceland,2019,46376.3
414,ISL,Iceland,2020,45940.4
415,ISL,Iceland,2021,50344.6
416,ISL,Iceland,2022,57587.6
417,ISL,Iceland,2023,60638.8
418,IRL,Ireland,2005,24154.4
419,IRL,Ireland,2006,26583.1
420,IRL,Ireland,2007,29015.3
421,IRL,Ireland,2008,29565.6
422,IRL,Ireland,2009,27892.7
423,IRL,Ireland,2010,28581.0
424,IRL,Ireland,2011,29407.1
425,IRL,Ireland,2012,29453.5
426,IRL,Ireland,2013,29791.5
427,IRL,Ireland,2014,30384.2
428,IRL,Ireland,2015,31522.3
429,IRL,Ireland,2016,33280.0
430,IRL,Ireland,2017,34352.1
431,IRL,Ireland,2018,36221.8
432,IRL,Ireland,2019,37628.4
433,IRL,Ireland,2020,36563.2
434,IRL,Ireland,2021,41174.2
435,IRL,Ireland,2022,47843.7
436,IRL,Ireland,2023,51761.6
456,ITA,Italy,2005,23680.0
457,ITA,Italy,2006,25467.6
458,ITA,Italy,2007,26508.6
459,ITA,Italy,2008,27873.8
460,ITA,Italy,2009,27892.1
461,ITA,Italy,2010,28341.9
462,ITA,Italy,2011,29357.3
463,ITA,Italy,2012,29367.5
464,ITA,Italy,2013,29412.8
465,ITA,Italy,2014,29381.3
466,ITA,Italy,2015,29857.5
467,ITA,Italy,2016,32030.9
468,ITA,Italy,2017,33348.8
469,ITA,Italy,2018,34425.3
470,ITA,Italy,2019,36597.1
471,ITA,Italy,2020,34921.5
472,ITA,Italy,2021,38332.1
473,ITA,Italy,2022,43780.9
474,ITA,Italy,2023,45402.3
513,LVA,Latvia,2005,10478.3
514,LVA,Latvia,2006,12013.5
515,LVA,Latvia,2007,13205.7
516,LVA,Latvia,2008,14220.1
517,LVA,Latvia,2009,13051.8
518,LVA,Latvia,2010,14084.7
519,LVA,Latvia,2011,14781.5
520,LVA,Latvia,2012,15767.0
521,LVA,Latvia,2013,17309.8
522,LVA,Latvia,2014,17968.5
523,LVA,Latvia,2015,18592.7
524,LVA,Latvia,2016,20054.9
525,LVA,Latvia,2017,21498.9
526,LVA,Latvia,2018,22857.4
527,LVA,Latvia,2019,24762.7
528,LVA,Latvia,2020,25012.1
529,LVA,Latvia,2021,27571.3
530,LVA,Latvia,2022,31074.5
531,LVA,Latvia,2023,32824.8
532,LIE,Liechtenstein,2005,59082.3
533,LIE,Liechtenstein,2006,65629.9
534,LIE,Liechtenstein,2007,72781.4
535,LIE,Liechtenstein,2008,73703.8
536,LIE,Liechtenstein,2009,68355.0
537,LIE,Liechtenstein,2010,72727.1
538,LIE,Liechtenstein,2011,72019.8
539,LIE,Liechtenstein,2012,74361.3
540,LIE,Liechtenstein,2013,79823.4
541,LIE,Liechtenstein,2014,83137.7
542,LIE,Liechtenstein,2015,84633.3
543,LIE,Liechtenstein,2016,85144.9
544,LIE,Liechtenstein,2017,89294.7
545,LIE,Liechtenstein,2018,..
546,LIE,Liechtenstein,2019,..
547,LIE,Liechtenstein,2020,..
548,LIE,Liechtenstein,2021,..
549,LIE,Liechtenstein,2022,..
550,LIE,Liechtenstein,2023,..
551,LTU,Lithuania,2005,12020.2
552,LTU,Lithuania,2006,13717.3
553,LTU,Lithuania,2007,15416.3
554,LTU,Lithuania,2008,17283.7
555,LTU,Lithuania,2009,16128.4
556,LTU,Lithuania,2010,16689.5
557,LTU,Lithuania,2011,18238.4
558,LTU,Lithuania,2012,19436.5
559,LTU,Lithuania,2013,20752.6
560,LTU,Lithuania,2014,21779.9
561,LTU,Lithuania,2015,22624.6
562,LTU,Lithuania,2016,24305.4
563,LTU,Lithuania,2017,25941.2
564,LTU,Lithuania,2018,27637.7
565,LTU,Lithuania,2019,30486.6
566,LTU,Lithuania,2020,30702.5
567,LTU,Lithuania,2021,34239.6
568,LTU,Lithuania,2022,37757.0
569,LTU,Lithuania,2023,39442.9
570,LUX,Luxembourg,2005,37733.4
571,LUX,Luxembourg,2006,40514.3
572,LUX,Luxembourg,2007,41497.4
573,LUX,Luxembourg,2008,44199.7
574,LUX,Luxembourg,2009,44700.2
575,LUX,Luxembourg,2010,45273.3
576,LUX,Luxembourg,2011,47579.7
577,LUX,Luxembourg,2012,48857.7
578,LUX,Luxembourg,2013,49899.5
579,LUX,Luxembourg,2014,51168.2
580,LUX,Luxembourg,2015,52333.4
581,LUX,Luxembourg,2016,54566.3
582,LUX,Luxembourg,2017,56752.4
583,LUX,Luxembourg,2018,58605.1
584,LUX,Luxembourg,2019,61560.4
585,LUX,Luxembourg,2020,59383.1
586,LUX,Luxembourg,2021,65905.6
587,LUX,Luxembourg,2022,70374.6
588,LUX,Luxembourg,2023,73497.2
589,MLT,Malta,2005,18289.5
590,MLT,Malta,2006,19312.3
591,MLT,Malta,2007,20154.9
592,MLT,Malta,2008,21469.1
593,MLT,Malta,2009,21475.6
594,MLT,Malta,2010,22293.1
595,MLT,Malta,2011,23427.5
596,MLT,Malta,2012,24077.9
597,MLT,Malta,2013,24826.0
598,MLT,Malta,2014,25158.1
599,MLT,Malta,2015,25417.1
600,MLT,Malta,2016,26680.3
601,MLT,Malta,2017,27729.6
602,MLT,Malta,2018,29717.4
603,MLT,Malta,2019,32365.9
604,MLT,Malta,2020,31052.1
605,MLT,Malta,2021,34732.1
606,MLT,Malta,2022,38109.9
607,MLT,Malta,2023,41950.8
608,MCO,Monaco,2005,..
609,MCO,Monaco,2006,91882.9
610,MCO,Monaco,2007,106610.2
611,MCO,Monaco,2008,110026.4
612,MCO,Monaco,2009,102158.3
613,MCO,Monaco,2010,106355.5
614,MCO,Monaco,2011,115376.7
615,MCO,Monaco,2012,116255.8
616,MCO,Monaco,2013,131205.1
617,MCO,Monaco,2014,138654.5
618,MCO,Monaco,2015,142450.0
619,MCO,Monaco,2016,149667.6
620,MCO,Monaco,2017,145942.3
621,MCO,Monaco,2018,..
622,MCO,Monaco,2019,..
623,MCO,Monaco,2020,..
624,MCO,Monaco,2021,..
625,MCO,Monaco,2022,..
626,MCO,Monaco,2023,..
627,MNE,Montenegro,2005,..
628,MNE,Montenegro,2006,11765.9
629,MNE,Montenegro,2007,13397.8
630,MNE,Montenegro,2008,15422.1
631,MNE,Montenegro,2009,13463.1
632,MNE,Montenegro,2010,14110.1
633,MNE,Montenegro,2011,14783.8
634,MNE,Montenegro,2012,14319.7
635,MNE,Montenegro,2013,14858.3
636,MNE,Montenegro,2014,15226.1
637,MNE,Montenegro,2015,15909.5
638,MNE,Montenegro,2016,17361.4
639,MNE,Montenegro,2017,18154.4
640,MNE,Montenegro,2018,19559.2
641,MNE,Montenegro,2019,21275.4
642,MNE,Montenegro,2020,21572.9
643,MNE,Montenegro,2021,22402.4
644,MNE,Montenegro,2022,25755.6
645,MNE,Montenegro,2023,28370.0
646,NLD,Netherlands,2005,26706.4
647,NLD,Netherlands,2006,28839.2
648,NLD,Netherlands,2007,30567.0
649,NLD,Netherlands,2008,32108.2
650,NLD,Netherlands,2009,32053.1
651,NLD,Netherlands,2010,32381.1
652,NLD,Netherlands,2011,33605.8
653,NLD,Netherlands,2012,34148.0
654,NLD,Netherlands,2013,35504.9
655,NLD,Netherlands,2014,35445.2
656,NLD,Netherlands,2015,35757.2
657,NLD,Netherlands,2016,36879.4
658,NLD,Netherlands,2017,38706.8
