Series Name,"Series Code","Country Name","Country Code","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2023 [YR2023]","2022 [YR2022]","2021 [YR2021]","2020 [YR2020]","2019 [YR2019]","2018 [YR2018]","2017 [YR2017]","2016 [YR2016]"
Gini index,"SI.POV.GINI","Egypt, Arab Rep.","EGY","28.3","NA","NA","31.8","NA","NA","NA","NA","31.9","NA","31.5","NA"
Gini index,"SI.POV.GINI","El Salvador","SLV","41.8","43.4","41.6","40.6","NA","38.8","39","NA","38.8","38.6","38","40"
Gini index,"SI.POV.GINI","Equatorial Guinea","GNQ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Eritrea","ERI","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Estonia","EST","32.9","35.1","34.6","32.7","NA","NA","31.8","30.7","30.8","30.3","30.4","31.2"
Gini index,"SI.POV.GINI","Ethiopia","ETH","NA","NA","NA","35","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Faroe Islands","FRO","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Fiji","FJI","NA","36.7","NA","NA","NA","NA","NA","NA","30.7","NA","NA","NA"
Gini index,"SI.POV.GINI","Finland","FIN","27.1","27.2","26.8","27.1","NA","NA","27.7","27.1","27.7","27.3","27.4","27.1"
Gini index,"SI.POV.GINI","France","FRA","33.1","32.5","32.3","32.7","NA","NA","31.5","30.7","31.2","32.4","31.6","31.9"
Gini index,"SI.POV.GINI","French Polynesia","PYF","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Gabon","GAB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","38","NA"
Gini index,"SI.POV.GINI","Gambia, The","GMB","NA","NA","NA","35.9","NA","NA","NA","38.8","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Georgia","GEO","39","38.6","37.6","36.5","NA","33.5","34.2","34.5","35.9","36.4","37.9","36.6"
Gini index,"SI.POV.GINI","Germany","DEU","31.1","31.5","30.8","31.7","NA","NA","NA","32.4","31.8","31.9","31.3","31.4"
Gini index,"SI.POV.GINI","Ghana","GHA","42.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43.5"
Gini index,"SI.POV.GINI","Gibraltar","GIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Greece","GRC","36.3","36.1","35.8","36","NA","NA","32.9","33.6","33.1","32.9","34.4","35"
Gini index,"SI.POV.GINI","Greenland","GRL","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Grenada","GRD","NA","NA","NA","NA","NA","NA","NA","NA","NA","43.8","NA","NA"
Gini index,"SI.POV.GINI","Guam","GUM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Guatemala","GTM","NA","NA","48.3","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gini index,"SI.POV.GINI","Guinea","GIN","33.7","NA","NA","NA","NA","NA","NA","NA","NA","29.6","NA","NA"
Gini index,"SI.POV.GINI","Guinea-Bissau","GNB","NA","NA","NA","NA","NA","NA","33.4","NA","NA","34.8","NA","NA"
Gini index,"SI.POV.GINI","Guyana","GUY","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
